Title,Author,ISBN,My Rating,Date Read,Thoughts
Smarter Than You Think: How Technology is Changing Our Minds for the Better,Clive Thompson,1594204454,5,2021/08/15,
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,1591846358,4,2021/09/23,"""First, see clearly. Next, act correctly. Finally, endure and accept the world as it is.""<br/><br/>This book offers a corrective lens for one's own outlook on life. Instead of being a superficial, anxious, depressed, self-obsessed type of person, you could alternatively change your relationship with the world, and ultimately, yourself. <br/><br/>Perception (John Rockefeller): Don't get emotional and worked up. Just see things for what they are and don't complain. Be present and think deeply. <br/><br/>Action (Demosthenes): Get started and establish a great process. Do whatever you are doing to the best of your ability and do NOT give up. Adapt. Things aren't going to work the first time. Or the second. <br/><br/>Will (Abraham Lincoln): Be disciplined and persevere. Smile no matter what happens, because life is too short and there is something to smile about and look forward to, always. Love your community and the body outside of yourself, because in the grand scheme, you aren't going to be around all that long. Make the best of it, while you can, with what you have. <br/><br/>This book is repetitive and can be a bit rah-rah, but the message is there and many desperately need to hear it. If nothing else, I gained a little bit more perspective and courage from this short book."
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,0345816021,4,2021/09/09,
"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,052552262X,5,2021/09/29,
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,0307763056,4,2021/09/05,Genetic technology allows dinosaurs to be recreated. Park is designed poorly and tons of things go wrong. Lots of casualties…main theme is man’s inability to control nature & delusion in thinking he can - personified by character of Ian Malcolm
Missing Microbes: How the Overuse of Antibiotics Is Fueling Our Modern Plagues,Martin J. Blaser,0805098100,4,2021/09/01,"Blaser’s three pillars throughout the book:<br/><br/>1. The various bacteria and microorganisms that exist in and around the human species play a vital role in human health and well-being.<br/><br/>2. The blanket approach to prescribing antibiotics and increasing rates of procedures like the C-section are contributing to a growing public health crisis concerning antibiotic-resistant infections and diminished immunity and health amongst younger people. <br/><br/>3. The role of our microbiomes in our health is a growing field with many areas of research. These attempts include pinpointing what microorganisms are helpful (and harmful) to our health, how to restore microbiota in people who were previously deficient, and improving treatments and outcomes without traditional antibiotics.<br/><br/>Good read, but skipped a few chapters in the middle where he discusses his specific research on particular topics."
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,076117897X,5,2021/08/29,"Great practical and insightful tips about connecting with others and celebrating the work we do every day. <br/><br/>1. You don’t have to be a genius - “Geniuses” are really just people who have poured themselves into their craft and been noticed for it.<br/><br/>2. Process, not product - speaks for itself. It’s the process that lasts.<br/><br/>3. Share something small every day<br/><br/>4. Open up your “cabinet of curiosities” - be your authentic self and show that to people. Don’t be someone you’re not.<br/><br/>5. Tell good stories - Way too much to write about this one. See Donald Miller’s book.<br/><br/>6. Teach what you know - a point of connection and a way to learn for yourself<br/><br/>7. Don’t turn into human spam - share but be self-aware.<br/><br/>8. Learn to take a punch - the more you are criticized, the more it doesn’t hurt, because it’s not personal.<br/><br/>9. Sell Out - don’t be afraid to monetize, duh.<br/><br/>10. Stick around - it’s not over until you quit. Seriously. "
A Million Miles in a Thousand Years: What I Learned While Editing My Life,Donald Miller,0785213066,5,2021/08/28,"The power of good story. How we view our lives and why we should aspire to “live a good story.” There were strong Christian themes throughout, which were a pleasant surprise. <br/><br/>*God’s way of saying, “live a good story, bring someone along with you, and let me help.”"
The Premonition: A Pandemic Story,Michael   Lewis,0393881555,4,2021/08/26,"Failure of our institutions and courage of individuals to oppose the status quo. Good narrative about the state of public health, the response to the pandemic, and the ability of driven people to influence policy, even when the odds are completely stacked against them."
The Fifth Risk: Undoing Democracy,Michael   Lewis,0393357457,5,2021/01/01,
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,0752864327,3,2021/01/01,
"Tax the Rich!: How Lies, Loopholes, and Lobbyists Make the Rich Even Richer",Morris Pearl,1620976269,3,2021/01/01,
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,0307269981,5,2021/01/01,
American Dirt,Jeanine Cummins,,5,2021/01/01,
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,0670023329,5,2021/01/01,
"Doing Justice: A Prosecutor's Thoughts on Crime, Punishment, and the Rule of Law",Preet Bharara,,5,2021/01/01,
The Right Side of History: How Reason and Moral Purpose Made the West Great,Ben Shapiro,0062857924,4,2021/04/15,
The Benedict Option: A Strategy for Christians in a Post-Christian Nation,Rod Dreher,0735213291,4,2021/01/01,
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,0425172902,4,2021/01/01,
Blue Collar Conservatives: Recommitting to an America That Works,Rick Santorum,1621572390,4,2021/01/01,
A Gentleman in Moscow,Amor Towles,,5,2021/04/29,
The Price of Panic: How the Tyranny of Experts Turned a Pandemic into a Catastrophe,Douglas Axe,,4,2021/01/01,
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,,4,2021/01/01,
A Man Called Ove,Fredrik Backman,1476738017,4,2021/01/01,
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,,5,2021/01/01,
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,0060764902,5,2021/01/02,
An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,Elisabeth Rosenthal,1524756202,4,2020/12/30,
Writing Without Bullshit,Joshua Bernoff,0062477153,4,2020/12/05,
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,0439139597,5,2020/10/25,
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,039916524X,5,2020/12/26,
A Little History of the World,E.H. Gombrich,0300108834,4,2020/12/10,
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,1591845327,5,2020/09/09,
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,,5,2020/05/06,
Educated,Tara Westover,0399590501,5,2020/04/26,
"Smart People Should Build Things: How to Restore Our Culture of Achievement, Build a Path for Entrepreneurs, and Create New Jobs in America",Andrew   Yang,0062292048,5,2019/12/28,
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,0,,
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,,5,2020/11/24,
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,043965548X,5,2020/08/25,
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,,5,2020/07/31,
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,5,2020/12/02,
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,,5,2020/03/10,
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,5,,
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,0670069019,5,2020/09/06,
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,0525427570,0,2020/08/19,
"The Hobbit, or There and Back Again",J.R.R. Tolkien,,5,2020/08/06,
Iqbal,Francesco D'Adamo,1416903291,4,2020/08/05,
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,0316067598,5,,
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,038534872X,5,2020/07/14,
Outliers: The Story of Success,Malcolm Gladwell,0316017922,5,,
Inside the Criminal Mind,Stanton E. Samenow,140004619X,4,,
How an Economy Grows and Why It Crashes,Peter D. Schiff,047052670X,5,2020/06/30,
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,0062407805,5,2020/06/06,
Liar's Poker,Michael   Lewis,039333869X,3,,
1984,George Orwell,,5,2020/05/20,
Dark Agenda: The War to Destroy Christian America,David Horowitz,1630061131,5,,
"Endurance: A Year in Space, A Lifetime of Discovery",Scott    Kelly,1524731595,5,,
Midnight Riot (Rivers of London #1),Ben Aaronovitch,,4,,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,0316204366,4,2020/04/15,
Tribe: On Homecoming and Belonging,Sebastian Junger,,5,2020/03/26,
All the Light We Cannot See,Anthony Doerr,1476746583,4,2019/12/30,
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,1400064163,5,,
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,0439023483,0,,
"The Giver (The Giver, #1)",Lois Lowry,0385732554,0,,
Romeo and Juliet,William Shakespeare,0743477111,0,,
Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,0375705244,5,,
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,0385536976,4,,
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,0316322407,5,2018/01/01,
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,147675571X,5,2018/01/01,Excellent
Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,0062362496,0,2018/01/01,
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,0385495226,4,2018/07/28,
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,1416524797,5,2018/07/23,
"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",Sheelah Kolhatkar,0812995805,5,2018/07/01,
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,0553588486,0,2018/06/19,
Jesus: A Pilgrimage,James     Martin,006202423X,5,2018/06/08,Very solid book. Humanizes Jesus and his ministry while highlighting important Holy Land sites.
The Stand,Stephen        King,,5,,
The Kite Runner,Khaled Hosseini,159463193X,5,,
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,1420925539,4,,
A Tree Grows in Brooklyn,Betty  Smith,0061120073,3,,
Brave New World,Aldous Huxley,0060929871,5,,
Of Mice and Men,John Steinbeck,0142000671,4,,
Frankenstein,Mary Wollstonecraft Shelley,,4,,
Lord of the Flies,William Golding,0140283331,5,,
The Catcher in the Rye,J.D. Salinger,0316769177,5,,
Animal Farm,George Orwell,,5,,
All Quiet on the Western Front,Erich Maria Remarque,0449213943,4,,
The Great Gatsby,F. Scott Fitzgerald,0743273567,5,,
Eragon (The Inheritance Cycle #1),Christopher Paolini,0375826696,5,,
